id,name,id_bioguide,id_govtrack,id_icpsr,id_wikipedia,id_wikidata,id_google_entity_id,name_first,name_last,bio_birthday,bio_gender,id_house_history,name_middle,name_nickname,id_ballotpedia,name_suffix,id_bioguide_previous,id_house_history_alternate,other_names,id_thomas,id_cspan,id_votesmart,id_lis,name_official_full,id_opensecrets,id_fec,id_maplight,leadership_roles,family
A000343,Thomas Averett,A000343,400993,297,Thomas H. Averett,Q2424433,kg:/m/02rjzrq,Thomas,Averett,1800-07-10,M,8733,Hamlet,,,,,,,,,,,,,,,,
A000344,John Averill,A000344,400994,298,John T. Averill,Q960453,kg:/m/0dqmhj,John,Averill,1825-03-01,M,8734,Thomas,,,,,,,,,,,,,,,,
A000345,Daniel Avery,A000345,400995,299,Daniel Avery (politician),Q2654862,kg:/m/026psvq,Daniel,Avery,1766-09-18,M,8735,,,,,,,,,,,,,,,,,
A000346,John Avery,A000346,400996,300,John Avery (politician),Q1699192,kg:/m/09cfx9,John,Avery,1824-02-29,M,8737,,,,,,,,,,,,,,,,,
A000347,William Avery,A000347,400998,302,William Tecumsah Avery,Q2580731,kg:/m/0ddl59,William,Avery,1819-11-11,M,8738,Tecumsah,,,,,,,,,,,,,,,,
A000348,Samuel Avis,A000348,400999,303,Samuel B. Avis,Q1470036,kg:/m/03bzf4k,Samuel,Avis,1872-02-19,M,8739,Brashear,,,,,,,,,,,,,,,,
A000349,Samuel Axtell,A000349,401000,304,Samuel Beach Axtell,Q1620363,kg:/m/05qsl7,Samuel,Axtell,1819-10-14,M,8740,Beach,,,,,,,,,,,,,,,,
A000350,John Aycrigg,A000350,401001,305,John Bancker Aycrigg,Q1699248,kg:/m/02z8_rb,John,Aycrigg,1798-07-09,M,8741,Bancker,,,,,,,,,,,,,,,,
A000351,Richard Ayer,A000351,401002,306,Richard S. Ayer,Q2150495,kg:/m/02rjyg3,Richard,Ayer,1829-10-09,M,8743,Small,,,,,,,,,,,,,,,,
A000352,Roy Ayers,A000352,401003,307,Roy E. Ayers,Q370646,kg:/m/027y7zg,Roy,Ayers,1882-11-09,M,8744,Elmer,,,,,,,,,,,,,,,,
A000353,Steven Ayres,A000353,401004,308,Steven Beckwith Ayres,Q4068624,kg:/m/02rldsd,Steven,Ayres,1861-10-27,M,8745,Beckwith,,,,,,,,,,,,,,,,
A000354,William Ayres,A000354,401005,309,William Augustus Ayres,Q2577898,kg:/m/027m7fc,William,Ayres,1867-04-19,M,8747,Augustus,,,,,,,,,,,,,,,,
A000355,Spencer Abraham,A000355,400555,49500,Spencer Abraham,Q1285613,kg:/m/01jtx9,Spencer,Abraham,12/06/1952,M,,,,,,,,,1269,,,S238,,,,,,
A000356,John Ashcroft,A000356,400556,49501,John Ashcroft,Q311141,kg:/m/046c6,John,Ashcroft,09/05/1942,M,,,,,,,,,1274,,,S239,,,,,,
A000357,Thomas Allen,A000357,400007,29728,Tom Allen (Maine politician),Q1855866,kg:/m/025k1c,Thomas,Allen,16/04/1945,M,8751,H.,Tom,,,,,,1461,,380,,,N00000469,"[""H6ME01157""]",,,
A000358,W. Akin,A000358,400005,20123,Todd Akin,Q772086,kg:/m/025xzm,W.,Akin,05/07/1947,M,8753,Todd,,,,,,,1655,87412,9301,,W. Todd Akin,N00009677,"[""H0MO02148""]",,,
A000359,Aníbal Acevedo-Vilá,A000359,400002,,Aníbal Acevedo Vilá,Q615126,kg:/m/0337g0,Aníbal,Acevedo-Vilá,13/02/1962,M,8754,,,,,,,,1679,,,,,N00009825,,,,
A000360,Lamar Alexander,A000360,300002,40304,Lamar Alexander,Q419976,kg:/m/01rbs3,Lamar,Alexander,03/07/1940,M,,,,Lamar Alexander,,,,,1695,5,15691,S289,Lamar Alexander,N00009888,"[""S2TN00058"", ""P60003225""]",530,,
A000361,Rodney Alexander,A000361,400006,90327,Rodney Alexander,Q504508,kg:/m/025jxc,Rodney,Alexander,05/12/1946,M,8757,M.,,Rodney Alexander,,,,,1727,1004256,4545,,Rodney Alexander,N00025464,"[""H2LA05084""]",129,,
A000362,Jason Altmire,A000362,412231,20743,Jason Altmire,Q606309,kg:/m/0dzy2v,Jason,Altmire,07/03/1968,M,8759,,,,,,,,1873,1022872,59999,,Jason Altmire,N00027664,"[""H6PA04110""]",,,
A000363,Michael Arcuri,A000363,412224,20736,Mike Arcuri,Q256130,kg:/m/0g826p,Michael,Arcuri,11/06/1959,M,8761,A.,,,,,,,1867,1021495,67657,,,N00027890,"[""H6NY24128""]",,,
A000364,John Adler,A000364,412264,20928,John Adler,Q976160,kg:/m/05jzss,John,Adler,23/08/1959,M,8763,H.,,,,,,,1935,1030767,4171,,,N00000812,"[""H8NJ03156""]",,,
A000365,Steve Austria,A000365,412265,20940,Steve Austria,Q144226,kg:/m/04l4w1,Steve,Austria,12/10/1958,M,8765,,,,,,,,1947,1031355,23398,,Steve Austria,N00029412,"[""H8OH07065""]",,,
A000366,Sandy Adams,A000366,412414,21120,Sandy Adams,Q513789,kg:/m/057njwc,Sandy,Adams,14/12/1956,F,8767,,,,,,,,2006,,31041,,Sandy Adams,N00030926,"[""H0FL24049""]",,,
A000367,Justin Amash,A000367,412438,21143,Justin Amash,Q1714165,kg:/m/0c00p_n,Justin,Amash,18/04/1980,M,8769,,,Justin Amash,,,,,2029,1033767,105566,,Justin Amash,N00031938,"[""H0MI03126""]",1449,,
A000368,Kelly Ayotte,A000368,412493,41106,Kelly Ayotte,Q22354,kg:/m/0g9g4r,Kelly,Ayotte,27/06/1968,F,8771,,,Kelly A. Ayotte,,,,,2075,95241,42352,S340,Kelly Ayotte,N00030980,"[""S0NH00235""]",1498,,
A000369,Mark Amodei,A000369,412500,21196,Mark Amodei,Q23944,kg:/m/03bzdkn,Mark,Amodei,12/06/1958,M,8772,E.,,Mark Amodei,,,,,2090,62817,12537,,Mark E. Amodei,N00031177,"[""H2NV02395"", ""H1NV02017"", ""S0NV00237""]",1680,,
A000370,Alma Adams,A000370,412607,21545,Alma Adams,Q4733597,kg:/m/02b45d,Alma,Adams,27/05/1946,F,15032409256,S.,,Alma Adams,,,,,2201,76386,5935,,Alma S. Adams,N00035451,"[""H4NC12100""]",2063,,
A000371,Pete Aguilar,A000371,412615,21506,Pete Aguilar,Q7171821,kg:/m/0jwv0xf,Pete,Aguilar,19/06/1979,M,,,,Pete Aguilar,,,,,2229,79994,70114,,Pete Aguilar,N00033997,"[""H2CA31125""]",2071,"[{""title"": ""House Democratic Caucus Vice Chair"", ""chamber"": ""house"", ""start"": ""2021-01-03""}]",
A000372,Rick Allen,A000372,412625,21516,Rick W. Allen,Q18683976,kg:/m/0127y9dk,Rick,Allen,07/11/1951,M,,W.,,Rick Allen,,,,,2239,62545,136062,,Rick W. Allen,N00033720,"[""H2GA12121""]",2081,,
A000373,Brad Ashford,A000373,412642,,Brad Ashford,Q4953782,kg:/m/02pys5v,Brad,Ashford,10/11/1949,M,,,,,,,,,2257,,56766,,Brad Ashford,N00005293,"[""H4NE02054""]",2098,,
